jd_utc,ra_deg,dec_deg,magnitude,band,obs_code,sigma_ra_arcsec,sigma_dec_arcsec,source,designation
2460874.61135,262.1214166666667,-18.283472222222223,17.1,r,W84,0.12,0.12,mpc_real_http,0003I
2460874.61179,262.121125,-18.283444444444445,17.9,g,W84,0.12,0.12,mpc_real_http,0003I
2460874.61191,262.1211666666666,-18.283444444444445,18.1,G,W88,0.5,0.5,mpc_real_http,0003I
2460874.61229,262.12079166666666,-18.283444444444445,17.0,z,W84,0.12,0.12,mpc_real_http,0003I
2460874.61274,262.1205,-18.283416666666668,16.9,i,W84,0.12,0.12,mpc_real_http,0003I
2460874.61331,262.1201666666666,-18.28338888888889,17.2,r,W84,0.12,0.12,mpc_real_http,0003I
2460874.61373,262.119875,-18.28338888888889,18.0,g,W84,0.12,0.12,mpc_real_http,0003I
2460874.61428,262.11954166666663,-18.283361111111113,17.0,z,W84,0.12,0.12,mpc_real_http,0003I
2460874.61472,262.11924999999997,-18.283333333333335,17.0,i,W84,0.12,0.12,mpc_real_http,0003I
2460874.61516,262.11895833333335,-18.283333333333335,17.2,r,W84,0.12,0.12,mpc_real_http,0003I
2460874.628745,262.1103333333333,-18.28286111111111,19.0,G,309,0.1,0.1,mpc_real_http,0003I
2460874.62895,262.11062499999997,-18.283027777777775,18.1,r,829,0.5,0.5,mpc_real_http,0003I
2460874.63715,262.104875,-18.282444444444444,17.58,c,W68,0.15,0.15,mpc_real_http,0003I
2460874.63973,262.1033333333333,-18.2825,17.8,G,W88,0.5,0.5,mpc_real_http,0003I
2460874.644,262.1009583333333,-18.2825,18.6,r,829,0.5,0.5,mpc_real_http,0003I
2460874.650438,262.09641666666664,-18.281916666666667,17.39,c,W68,0.15,0.15,mpc_real_http,0003I
2460874.651977,262.0954583333333,-18.281916666666667,19.6,G,309,0.1,0.1,mpc_real_http,0003I
2460874.655927,262.092875,-18.281666666666663,17.8,c,W68,0.15,0.15,mpc_real_http,0003I
2460874.658346,262.09141666666665,-18.28163888888889,19.5,G,309,0.1,0.1,mpc_real_http,0003I
2460874.66711,262.086125,-18.281527777777775,17.3,r,829,0.5,0.5,mpc_real_http,0003I
2460874.667295,262.08566666666667,-18.281305555555555,19.4,G,309,0.1,0.1,mpc_real_http,0003I
2460874.66799,262.08554166666664,-18.2815,17.7,r,829,0.5,0.5,mpc_real_http,0003I
2460874.69545,262.068,-18.280388888888886,17.3,r,829,0.5,0.5,mpc_real_http,0003I
2460874.70041,262.0645,-18.279888888888888,17.3,r,W84,0.12,0.12,mpc_real_http,0003I
2460874.70084,262.06420833333334,-18.27986111111111,17.9,g,W84,0.12,0.12,mpc_real_http,0003I
2460874.70129,262.06391666666667,-18.279833333333332,16.9,z,W84,0.12,0.12,mpc_real_http,0003I
2460874.70172,262.0636666666667,-18.279833333333332,17.0,i,W84,0.12,0.12,mpc_real_http,0003I
2460874.70216,262.0634166666666,-18.279805555555555,17.2,r,W84,0.12,0.12,mpc_real_http,0003I
2460874.7058,262.06108333333333,-18.279694444444445,16.9,z,W84,0.12,0.12,mpc_real_http,0003I
2460874.70624,262.0607916666666,-18.279638888888886,17.0,i,W84,0.12,0.12,mpc_real_http,0003I
2460874.70665,262.06054166666667,-18.27961111111111,17.1,r,W84,0.12,0.12,mpc_real_http,0003I
2460874.71912,262.05291666666665,-18.27938888888889,18.0,r,829,0.5,0.5,mpc_real_http,0003I
2460874.72,262.0523333333333,-18.279333333333337,17.5,r,829,0.5,0.5,mpc_real_http,0003I
2460874.72604,262.0485,-18.279083333333332,17.0,r,829,0.5,0.5,mpc_real_http,0003I
2460874.72691,262.0479166666666,-18.279055555555555,17.6,r,829,0.5,0.5,mpc_real_http,0003I
2460874.72777,262.04741666666666,-18.279055555555555,18.3,r,829,0.5,0.5,mpc_real_http,0003I
2460874.72864,262.0469166666666,-18.279,17.8,r,829,0.5,0.5,mpc_real_http,0003I
2460874.72949,262.04633333333334,-18.278972222222222,17.3,r,829,0.5,0.5,mpc_real_http,0003I
2460874.80502,261.99904166666664,-18.275499999999997,17.3,V,E86,0.5,0.5,mpc_real_http,0003I
2460874.81109,261.995125,-18.27525,17.8,V,E86,0.5,0.5,mpc_real_http,0003I
2460874.81722,261.99116666666663,-18.275,18.0,V,E86,0.5,0.5,mpc_real_http,0003I
2460874.87112,261.9567916666667,-18.27286111111111,17.7,V,E86,0.5,0.5,mpc_real_http,0003I
2460874.88013,261.95104166666664,-18.272499999999997,17.6,V,E86,0.5,0.5,mpc_real_http,0003I
2460874.89008,261.9447083333333,-18.272166666666667,17.6,V,E86,0.5,0.5,mpc_real_http,0003I
2460874.893002,261.9422083333333,-18.272777777777776,17.85,G,F65,0.5,0.5,mpc_real_http,0003I
2460874.894162,261.94154166666664,-18.272694444444443,17.83,G,F65,0.5,0.5,mpc_real_http,0003I
2460874.895321,261.9407083333333,-18.272666666666662,17.62,G,F65,0.5,0.5,mpc_real_http,0003I
2460874.896479,261.9400416666667,-18.27263888888889,17.82,G,F65,0.5,0.5,mpc_real_http,0003I
2460874.897638,261.93929166666663,-18.272555555555556,17.84,G,F65,0.5,0.5,mpc_real_http,0003I
2460874.97394,261.8910833333333,-18.26886111111111,17.2,G,Q62,0.5,0.5,mpc_real_http,0003I
2460874.98995,261.88075000000003,-18.268194444444443,17.3,G,Q62,0.5,0.5,mpc_real_http,0003I
2460875.03924,261.849375,-18.266777777777776,16.5,T,349,0.5,0.5,mpc_real_http,0003I
2460875.048,261.843875,-18.266333333333332,,,349,0.5,0.5,mpc_real_http,0003I
2460875.08461,261.82008333333334,-18.26425,18.3,V,E10,0.5,0.5,mpc_real_http,0003I
2460875.08576,261.81929166666663,-18.264166666666668,18.2,V,E10,0.5,0.5,mpc_real_http,0003I
2460875.08696,261.818625,-18.26411111111111,18.2,V,E10,0.5,0.5,mpc_real_http,0003I
2460875.118576,261.79841666666664,-18.262888888888888,17.8,G,Q62,0.5,0.5,mpc_real_http,0003I
2460875.125341,261.79404166666666,-18.2625,17.8,G,Q62,0.5,0.5,mpc_real_http,0003I
2460875.130666,261.79066666666665,-18.26236111111111,17.2,G,Q62,0.5,0.5,mpc_real_http,0003I
2460875.18547,261.75629166666664,-18.261027777777777,17.2,G,N42,0.5,0.5,mpc_real_http,0003I
2460875.18859,261.75420833333334,-18.260916666666667,17.7,G,N42,0.5,0.5,mpc_real_http,0003I
2460875.19132,261.75237500000003,-18.26086111111111,17.2,G,N42,0.5,0.5,mpc_real_http,0003I
2460875.24274,261.72016666666667,-18.25786111111111,17.2,G,194,0.5,0.5,mpc_real_http,0003I
2460875.24582,261.718125,-18.257694444444443,17.2,G,194,0.5,0.5,mpc_real_http,0003I
2460875.24892,261.71625,-18.257527777777774,16.6,G,194,0.5,0.5,mpc_real_http,0003I
2460875.25743,261.7107916666667,-18.257277777777777,17.2,G,194,0.5,0.5,mpc_real_http,0003I
2460875.25898,261.70979166666666,-18.25722222222222,17.0,G,194,0.5,0.5,mpc_real_http,0003I
2460875.3193,261.67129166666666,-18.2555,16.1,V,L90,0.5,0.5,mpc_real_http,0003I
2460875.32244,261.66904166666666,-18.255277777777778,16.9,V,C82,0.5,0.5,mpc_real_http,0003I
2460875.32758,261.6655416666667,-18.25488888888889,17.2,V,L90,0.5,0.5,mpc_real_http,0003I
2460875.32835,261.665125,-18.25497222222222,16.6,V,C82,0.5,0.5,mpc_real_http,0003I
2460875.33561,261.6605,-18.254722222222224,17.2,V,L90,0.5,0.5,mpc_real_http,0003I
2460875.34382,261.65524999999997,-18.25438888888889,16.7,V,M24,0.5,0.5,mpc_real_http,0003I
2460875.3501,261.6512916666667,-18.25411111111111,16.7,V,M24,0.5,0.5,mpc_real_http,0003I
2460875.35569,261.64754166666665,-18.253944444444443,16.7,V,M24,0.5,0.5,mpc_real_http,0003I
2460875.385214,261.6288333333333,-18.25280555555555,16.9,R,B72,0.5,0.5,mpc_real_http,0003I
2460875.38831,261.6265416666667,-18.252583333333337,17.2,V,M38,0.5,0.5,mpc_real_http,0003I
2460875.392267,261.62416666666667,-18.252444444444443,16.8,G,104,0.5,0.5,mpc_real_http,0003I
2460875.39322,261.6232916666667,-18.25236111111111,16.6,G,B50,0.5,0.5,mpc_real_http,0003I
2460875.39529,261.62225,-18.252305555555555,,,D63,0.5,0.5,mpc_real_http,0003I
2460875.39936,261.619625,-18.25205555555555,14.9,G,K87,0.5,0.5,mpc_real_http,0003I
2460875.39975,261.6195416666667,-18.25225,16.6,G,B50,0.5,0.5,mpc_real_http,0003I
2460875.40228,261.617875,-18.25197222222222,15.0,G,K87,0.5,0.5,mpc_real_http,0003I
2460875.40426,261.6165,-18.251944444444444,17.7,V,M38,0.5,0.5,mpc_real_http,0003I
2460875.40495,261.616125,-18.25213888888889,17.1,G,B50,0.5,0.5,mpc_real_http,0003I
2460875.40556,261.61591666666664,-18.252027777777776,15.2,G,K87,0.5,0.5,mpc_real_http,0003I
2460875.41271,261.6111666666667,-18.250888888888888,17.0,N,J01,0.5,0.5,mpc_real_http,0003I
2460875.414918,261.60966666666667,-18.251472222222223,16.8,R,B72,0.5,0.5,mpc_real_http,0003I
2460875.41506,261.60975,-18.2515,15.6,G,K87,0.5,0.5,mpc_real_http,0003I
2460875.41632,261.60858333333334,-18.2515,17.3,G,K83,0.5,0.5,mpc_real_http,0003I
2460875.41747,261.60770833333333,-18.25161111111111,17.2,G,B50,0.5,0.5,mpc_real_http,0003I
2460875.42308,261.6048333333333,-18.250972222222224,16.6,G,B50,0.5,0.5,mpc_real_http,0003I
2460875.4241,261.604,-18.251083333333337,17.4,N,J01,0.5,0.5,mpc_real_http,0003I
2460875.42544,261.6030416666667,-18.251,17.0,G,K83,0.5,0.5,mpc_real_http,0003I
2460875.4295,261.60041666666666,-18.25094444444445,,,D63,0.5,0.5,mpc_real_http,0003I
2460875.430829,261.599375,-18.250888888888888,17.0,R,B72,0.5,0.5,mpc_real_http,0003I
2460875.43269,261.59808333333336,-18.250611111111112,17.1,G,B67,0.5,0.5,mpc_real_http,0003I
2460875.43455,261.5969583333333,-18.25063888888889,16.8,G,B67,0.5,0.5,mpc_real_http,0003I
2460875.43642,261.595875,-18.250666666666667,16.5,G,B67,0.5,0.5,mpc_real_http,0003I
2460875.46991,261.5749583333333,-18.24866666666667,17.1,G,X76,0.5,0.5,mpc_real_http,0003I
2460875.4803,261.56800000000004,-18.248166666666663,16.6,G,X76,0.5,0.5,mpc_real_http,0003I
2460875.483938,261.5662083333333,-18.24775,17.93,G,W86,0.5,0.5,mpc_real_http,0003I
2460875.487472,261.56391666666667,-18.247611111111112,17.9,G,W86,0.5,0.5,mpc_real_http,0003I
2460875.489555,261.56266666666664,-18.247555555555557,18.6,G,309,0.1,0.1,mpc_real_http,0003I
2460875.49069,261.56129166666665,-18.247777777777777,17.4,G,X76,0.5,0.5,mpc_real_http,0003I
2460875.490849,261.561875,-18.2475,18.7,G,309,0.1,0.1,mpc_real_http,0003I
2460875.491002,261.56166666666667,-18.247472222222225,18.03,G,W86,0.5,0.5,mpc_real_http,0003I
2460875.494539,261.559375,-18.247305555555556,17.9,G,W86,0.5,0.5,mpc_real_http,0003I
2460875.49806,261.557125,-18.24713888888889,18.02,G,W86,0.5,0.5,mpc_real_http,0003I
2460875.501581,261.55483333333336,-18.247027777777777,17.95,G,W86,0.5,0.5,mpc_real_http,0003I
2460875.505127,261.5525416666667,-18.246833333333335,17.87,G,W86,0.5,0.5,mpc_real_http,0003I
2460875.62794,261.47341666666665,-18.242555555555555,18.4,V,932,0.5,0.5,mpc_real_http,0003I
2460875.629231,261.4727916666667,-18.242583333333336,18.1,V,932,0.5,0.5,mpc_real_http,0003I
2460875.638271,261.466875,-18.24227777777778,17.9,V,932,0.5,0.5,mpc_real_http,0003I
2460875.639564,261.46608333333336,-18.242083333333333,18.0,V,932,0.5,0.5,mpc_real_http,0003I
2460875.640854,261.46525,-18.24202777777778,17.7,V,932,0.5,0.5,mpc_real_http,0003I
2460875.642146,261.46433333333334,-18.24202777777778,18.1,V,932,0.5,0.5,mpc_real_http,0003I
2460875.684301,261.4371666666667,-18.239305555555557,18.0,G,W87,0.5,0.5,mpc_real_http,0003I
2460875.687829,261.43487500000003,-18.239166666666662,17.95,G,W87,0.5,0.5,mpc_real_http,0003I
2460875.68955,261.43433333333337,-18.23988888888889,17.96,g,I41,0.1,0.1,mpc_real_http,0003I
2460875.690515,261.43358333333333,-18.23988888888889,17.97,g,I41,0.1,0.1,mpc_real_http,0003I
2460875.691391,261.43258333333335,-18.239,18.09,G,W87,0.5,0.5,mpc_real_http,0003I
2460875.691456,261.43320833333337,-18.23986111111111,18.06,g,I41,0.1,0.1,mpc_real_http,0003I
2460875.694918,261.4302916666667,-18.238833333333336,17.94,G,W87,0.5,0.5,mpc_real_http,0003I
2460875.69844,261.4280416666667,-18.238694444444445,18.02,G,W87,0.5,0.5,mpc_real_http,0003I
2460875.701951,261.42579166666667,-18.23852777777778,17.98,G,W87,0.5,0.5,mpc_real_http,0003I
2460875.755072,261.39212499999996,-18.237111111111112,17.48,r,I41,0.1,0.1,mpc_real_http,0003I
2460875.75715,261.3906666666667,-18.23702777777778,15.3,G,U52,0.5,0.5,mpc_real_http,0003I
2460875.76007,261.388875,-18.236944444444447,16.7,G,U52,0.5,0.5,mpc_real_http,0003I
2460875.76299,261.38662500000004,-18.236777777777775,17.1,G,U52,0.5,0.5,mpc_real_http,0003I
2460875.769933,261.38258333333334,-18.23638888888889,17.41,r,I41,0.1,0.1,mpc_real_http,0003I
2460875.94968,261.26733333333334,-18.227916666666665,16.1,G,E23,0.5,0.5,mpc_real_http,0003I
2460875.95675,261.2629166666667,-18.227833333333333,17.0,G,E23,0.5,0.5,mpc_real_http,0003I
2460875.96382,261.258375,-18.22758333333333,16.2,G,E23,0.5,0.5,mpc_real_http,0003I
2460876.030411,261.2154166666666,-18.224527777777777,18.05,G,Q64,0.5,0.5,mpc_real_http,0003I
2460876.033942,261.2130833333333,-18.22438888888889,18.03,G,Q64,0.5,0.5,mpc_real_http,0003I
2460876.037461,261.2108333333333,-18.22425,17.96,G,Q64,0.5,0.5,mpc_real_http,0003I
2460876.040986,261.20849999999996,-18.22411111111111,17.95,G,Q64,0.5,0.5,mpc_real_http,0003I
2460876.044529,261.20625,-18.22394444444444,17.85,G,Q64,0.5,0.5,mpc_real_http,0003I
2460876.3112,261.0363333333333,-18.2135,17.2,V,C82,0.5,0.5,mpc_real_http,0003I
2460876.31367,261.0333333333333,-18.213805555555556,17.5,V,C82,0.5,0.5,mpc_real_http,0003I
2460876.31434,261.032875,-18.213083333333337,17.7,G,095,0.5,0.5,mpc_real_http,0003I
2460876.32729,261.02479166666666,-18.21258333333333,17.7,V,C82,0.5,0.5,mpc_real_http,0003I
2460876.33019,261.02283333333327,-18.21238888888889,17.4,V,C82,0.5,0.5,mpc_real_http,0003I
2460876.350713,261.0095,-18.210638888888887,17.87,G,K91,0.3,0.3,mpc_real_http,0003I
2460876.354189,261.0073333333333,-18.211416666666665,,,K88,0.5,0.5,mpc_real_http,0003I
2460876.354236,261.00724999999994,-18.2105,17.85,G,K91,0.3,0.3,mpc_real_http,0003I
2460876.357756,261.005,-18.21033333333333,17.92,G,K91,0.3,0.3,mpc_real_http,0003I
2460876.361279,261.0027083333333,-18.210194444444443,17.9,G,K91,0.3,0.3,mpc_real_http,0003I
2460876.36302,261.0014166666666,-18.210916666666662,17.7,G,095,0.5,0.5,mpc_real_http,0003I
2460876.3655,260.999875,-18.210666666666665,17.1,G,C40,0.5,0.5,mpc_real_http,0003I
2460876.365858,260.99970833333333,-18.21088888888889,,,K88,0.5,0.5,mpc_real_http,0003I
2460876.368344,260.99808333333334,-18.209888888888887,17.92,G,K91,0.3,0.3,mpc_real_http,0003I
2460876.3733,260.99475,-18.210583333333332,17.4,G,C40,0.5,0.5,mpc_real_http,0003I
2460876.37978,260.9907083333333,-18.210166666666662,17.1,G,G02,0.2,0.2,mpc_real_http,0003I
2460876.38111,260.98975,-18.210194444444443,17.0,G,C40,0.5,0.5,mpc_real_http,0003I
2460876.38891,260.984375,-18.20994444444444,17.1,G,C40,0.5,0.5,mpc_real_http,0003I
2460876.389824,260.9843333333333,-18.20975,17.1,G,958,0.5,0.5,mpc_real_http,0003I
2460876.39129,260.98316666666665,-18.209666666666667,17.7,G,G02,0.2,0.2,mpc_real_http,0003I
2460876.3967,260.979625,-18.209166666666665,17.5,G,C40,0.5,0.5,mpc_real_http,0003I
2460876.40313,260.9755,-18.20922222222222,17.4,G,G02,0.2,0.2,mpc_real_http,0003I
2460876.40431,260.97495833333335,-18.208805555555553,17.5,G,C40,0.5,0.5,mpc_real_http,0003I
2460876.411652,260.97025,-18.20883333333333,17.3,G,958,0.5,0.5,mpc_real_http,0003I
2460876.413339,260.969,-18.208694444444443,17.5,G,L34,0.5,0.5,mpc_real_http,0003I
2460876.415793,260.96733333333333,-18.208694444444443,17.7,G,L34,0.5,0.5,mpc_real_http,0003I
2460876.42606,260.9607083333333,-18.208222222222226,,,L34,0.5,0.5,mpc_real_http,0003I
2460876.428166,260.95925,-18.208055555555553,,,L34,0.5,0.5,mpc_real_http,0003I
2460876.433366,260.95620833333334,-18.20788888888889,16.9,G,958,0.5,0.5,mpc_real_http,0003I
2460876.451293,260.9452083333333,-18.20636111111111,15.7,G,Y05,0.5,0.5,mpc_real_http,0003I
2460876.476997,260.9285,-18.20525,16.5,G,Y05,0.5,0.5,mpc_real_http,0003I
2460876.502277,260.91195833333336,-18.20422222222222,17.5,G,Y05,0.5,0.5,mpc_real_http,0003I
2460876.5956,260.8519583333333,-18.200694444444444,16.5,G,H23,0.5,0.5,mpc_real_http,0003I
2460876.61411,260.8399166666666,-18.19988888888889,16.4,G,H23,0.5,0.5,mpc_real_http,0003I
2460876.63213,260.8280833333333,-18.199055555555557,16.5,G,H23,0.5,0.5,mpc_real_http,0003I
2460876.6468043597,204.61881126105877,-3.9986775538343573,19.341871023068343,r,I41,0.18,0.18,extended_ZTF_precovery,
2460876.680888,260.79629166666666,-18.196055555555557,17.98,G,W85,0.5,0.5,mpc_real_http,0003I
2460876.684413,260.79404166666666,-18.195916666666665,17.95,G,W85,0.5,0.5,mpc_real_http,0003I
2460876.687933,260.79179166666665,-18.19575,17.9,G,W85,0.5,0.5,mpc_real_http,0003I
2460876.691458,260.7895,-18.195583333333335,17.99,G,W85,0.5,0.5,mpc_real_http,0003I
2460876.694985,260.7872083333333,-18.195444444444444,18.13,G,W85,0.5,0.5,mpc_real_http,0003I
2460876.698515,260.784875,-18.19527777777778,18.1,G,W85,0.5,0.5,mpc_real_http,0003I
2460876.702073,260.782625,-18.195138888888888,18.06,G,W85,0.5,0.5,mpc_real_http,0003I
2460876.710994,260.777375,-18.19563888888889,18.01,g,I41,0.1,0.1,mpc_real_http,0003I
2460876.72823,260.76616666666666,-18.194833333333335,17.31,r,I41,0.1,0.1,mpc_real_http,0003I
2460876.764498,260.74262500000003,-18.19311111111111,17.37,r,I41,0.1,0.1,mpc_real_http,0003I
2460876.770204,260.7387916666667,-18.19302777777778,18.05,g,I41,0.1,0.1,mpc_real_http,0003I
2460876.77924,260.73362499999996,-18.1915,17.6,V,E86,0.5,0.5,mpc_real_http,0003I
2460876.784,260.73045833333333,-18.191333333333333,17.5,V,E86,0.5,0.5,mpc_real_http,0003I
2460876.79035,260.72633333333334,-18.191111111111113,17.4,V,E86,0.5,0.5,mpc_real_http,0003I
2460876.98405,260.6007916666667,-18.18305555555556,,,D95,0.5,0.5,mpc_real_http,0003I
2460876.98727,260.5984583333333,-18.182944444444445,,,D95,0.5,0.5,mpc_real_http,0003I
2460876.99351,260.594875,-18.18288888888889,,,903,0.5,0.5,mpc_real_http,0003I
2460876.99799,260.59166666666664,-18.182666666666663,16.7,T,D95,0.5,0.5,mpc_real_http,0003I
2460877.00854,260.58491666666663,-18.18202777777778,,,903,0.5,0.5,mpc_real_http,0003I
2460877.026135391,204.25739313495262,-3.7747892370168015,16.520846542098163,r,W84,0.12,0.12,extended_DECam,
2460877.02769,260.57254166666667,-18.181305555555557,17.1,T,903,0.5,0.5,mpc_real_http,0003I
2460877.03131,260.57008333333334,-18.18111111111111,18.3,V,Q14,0.5,0.5,mpc_real_http,0003I
2460877.04065,260.56404166666664,-18.180666666666667,17.7,V,Q14,0.5,0.5,mpc_real_http,0003I
2460877.04705,260.55966666666666,-18.180444444444447,17.3,V,Q14,0.5,0.5,mpc_real_http,0003I
2460877.105587,260.5215416666667,-18.176944444444445,17.78,G,Q63,0.5,0.5,mpc_real_http,0003I
2460877.109119,260.51925,-18.17677777777778,17.99,G,Q63,0.5,0.5,mpc_real_http,0003I
2460877.112669,260.5169166666667,-18.17661111111111,17.89,G,Q63,0.5,0.5,mpc_real_http,0003I
2460877.116194,260.51466666666664,-18.17652777777778,17.8,G,Q63,0.5,0.5,mpc_real_http,0003I
2460877.119786,260.51229166666667,-18.17630555555556,17.91,G,Q63,0.5,0.5,mpc_real_http,0003I
2460877.123325,260.51,-18.176111111111112,17.94,G,Q63,0.5,0.5,mpc_real_http,0003I
2460877.126869,260.50770833333337,-18.176,17.7,G,Q63,0.5,0.5,mpc_real_http,0003I
2460877.148551114,204.18070033680362,-3.793481772590781,18.467503936363237,r,I41,0.18,0.18,extended_ZTF,
2460877.24223,260.434,-18.17088888888889,17.5,G,194,0.5,0.5,mpc_real_http,0003I
2460877.24542,260.432,-18.170833333333334,16.8,G,194,0.5,0.5,mpc_real_http,0003I
2460877.24849,260.42991666666666,-18.17061111111111,16.9,G,194,0.5,0.5,mpc_real_http,0003I
2460877.25156,260.42779166666674,-18.170583333333333,16.9,G,194,0.5,0.5,mpc_real_http,0003I
2460877.28491,260.4057916666667,-18.169833333333333,17.3,G,094,0.5,0.5,mpc_real_http,0003I
2460877.28817,260.40375,-18.169583333333335,17.5,G,094,0.5,0.5,mpc_real_http,0003I
2460877.29144,260.4016666666667,-18.169472222222225,17.7,G,094,0.5,0.5,mpc_real_http,0003I
2460877.2947,260.39945833333337,-18.169333333333334,17.5,G,094,0.5,0.5,mpc_real_http,0003I
2460877.31175,260.3882916666667,-18.168472222222224,17.6,G,C40,0.5,0.5,mpc_real_http,0003I
2460877.31758,260.38454166666673,-18.168222222222223,17.7,G,095,0.5,0.5,mpc_real_http,0003I
2460877.32623,260.37925,-18.16786111111111,16.7,R,056,0.5,0.5,mpc_real_http,0003I
2460877.32791,260.37775,-18.16777777777778,17.5,G,C40,0.5,0.5,mpc_real_http,0003I
2460877.32913,260.3772916666667,-18.16763888888889,16.7,R,056,0.5,0.5,mpc_real_http,0003I
2460877.33089,260.3761666666667,-18.16763888888889,17.2,G,L54,0.5,0.5,mpc_real_http,0003I
2460877.34387,260.36737500000004,-18.16702777777778,17.4,G,C40,0.5,0.5,mpc_real_http,0003I
2460877.34538,260.3664166666667,-18.16688888888889,17.1,G,L54,0.5,0.5,mpc_real_http,0003I
2460877.35591,260.3595833333333,-18.166166666666665,14.8,V,M38,0.5,0.5,mpc_real_http,0003I
2460877.3579,260.358375,-18.16622222222222,16.0,G,G02,0.2,0.2,mpc_real_http,0003I
2460877.35969,260.3571666666667,-18.166305555555553,17.5,G,A71,0.5,0.5,mpc_real_http,0003I
2460877.35987,260.35662500000007,-18.166194444444443,16.8,G,L54,0.5,0.5,mpc_real_http,0003I
2460877.361438,260.3561666666667,-18.166194444444443,,,K88,0.5,0.5,mpc_real_http,0003I
2460877.362783,260.35520833333334,-18.16633333333333,17.4,G,K88,0.5,0.5,mpc_real_http,0003I
2460877.36365,260.35462500000006,-18.166166666666665,15.3,V,M38,0.5,0.5,mpc_real_http,0003I
2460877.36474,260.35395833333337,-18.16597222222222,16.6,G,A71,0.5,0.5,mpc_real_http,0003I
2460877.36485,260.3536666666667,-18.166055555555555,17.7,G,095,0.5,0.5,mpc_real_http,0003I
2460877.36509,260.353625,-18.165916666666664,16.9,G,G02,0.2,0.2,mpc_real_http,0003I
2460877.36905,260.351375,-18.16586111111111,17.0,r,232,0.5,0.5,mpc_real_http,0003I
2460877.36978,260.3506666666667,-18.165916666666664,16.8,G,A71,0.5,0.5,mpc_real_http,0003I
2460877.37228,260.3489166666667,-18.165694444444444,17.1,G,G02,0.2,0.2,mpc_real_http,0003I
2460877.37399,260.34787500000004,-18.165694444444444,17.7,G,A71,0.5,0.5,mpc_real_http,0003I
2460877.377567,260.3455416666667,-18.16461111111111,17.85,G,K92,0.5,0.5,mpc_real_http,0003I
2460877.38019,260.34383333333335,-18.165277777777774,15.0,G,G02,0.2,0.2,mpc_real_http,0003I
2460877.381226,260.34312500000004,-18.16447222222222,17.65,G,K92,0.5,0.5,mpc_real_http,0003I
2460877.384874,260.34070833333334,-18.16422222222222,17.67,G,K92,0.5,0.5,mpc_real_http,0003I
2460877.388647,260.3382916666667,-18.16413888888889,17.88,G,K92,0.5,0.5,mpc_real_http,0003I
2460877.392929,260.3355,-18.163833333333333,18.12,G,K92,0.5,0.5,mpc_real_http,0003I
2460877.39491,260.3344166666667,-18.164583333333333,17.5,r,232,0.5,0.5,mpc_real_http,0003I
2460877.40113,260.3300833333334,-18.164416666666664,17.3,R,056,0.5,0.5,mpc_real_http,0003I
2460877.409125,260.32529166666666,-18.164055555555553,17.2,G,958,0.5,0.5,mpc_real_http,0003I
2460877.42005,260.3179166666667,-18.16355555555555,17.5,r,232,0.5,0.5,mpc_real_http,0003I
2460877.42008,260.3179166666667,-18.1635,17.3,R,056,0.5,0.5,mpc_real_http,0003I
2460877.42351,260.31545833333337,-18.1635,17.0,R,056,0.5,0.5,mpc_real_http,0003I
2460877.42729,260.3131666666667,-18.163138888888888,17.1,R,056,0.5,0.5,mpc_real_http,0003I
2460877.430822,260.3109166666667,-18.162888888888887,16.9,G,958,0.5,0.5,mpc_real_http,0003I
2460877.43485,260.30833333333334,-18.16286111111111,17.0,r,213,0.5,0.5,mpc_real_http,0003I
2460877.44251,260.3032083333334,-18.162416666666665,17.1,R,056,0.5,0.5,mpc_real_http,0003I
2460877.44546,260.3013333333334,-18.162388888888888,17.2,G,179,0.5,0.5,mpc_real_http,0003I
2460877.45009,260.298375,-18.162166666666664,16.6,R,056,0.5,0.5,mpc_real_http,0003I
2460877.451748,260.29720833333334,-18.162138888888887,17.3,G,958,0.5,0.5,mpc_real_http,0003I
2460877.45389,260.29583333333335,-18.161777777777775,16.9,R,056,0.5,0.5,mpc_real_http,0003I
2460877.45469,260.29533333333336,-18.161805555555553,17.6,G,179,0.5,0.5,mpc_real_http,0003I
2460877.46825,260.28645833333337,-18.16136111111111,16.9,r,213,0.5,0.5,mpc_real_http,0003I
2460877.623603,260.18575,-18.153305555555555,19.1,G,309,0.1,0.1,mpc_real_http,0003I
2460877.627569,260.18312499999996,-18.15311111111111,19.1,G,309,0.1,0.1,mpc_real_http,0003I
2460877.66071,260.1617083333333,-18.152388888888886,17.08,T,H45,0.5,0.5,mpc_real_http,0003I
2460877.66198,260.1610416666666,-18.15233333333333,17.94,T,H45,0.5,0.5,mpc_real_http,0003I
2460877.66503,260.15891666666664,-18.15225,18.01,T,H45,0.5,0.5,mpc_real_http,0003I
2460877.66631,260.15804166666663,-18.15211111111111,17.61,T,H45,0.5,0.5,mpc_real_http,0003I
2460877.66815,260.15704166666666,-18.151888888888887,18.32,T,H45,0.5,0.5,mpc_real_http,0003I
2460877.67718,260.1512083333333,-18.151555555555554,16.34,T,H45,0.5,0.5,mpc_real_http,0003I
2460877.713795,260.127125,-18.14986111111111,17.29,r,I41,0.1,0.1,mpc_real_http,0003I
2460877.714746,260.1266666666666,-18.149833333333333,17.35,r,I41,0.1,0.1,mpc_real_http,0003I
2460877.756369,260.0992083333333,-18.147916666666667,17.95,g,I41,0.1,0.1,mpc_real_http,0003I
